Group_ID,Light_Treatment_Population_white_eyed_Female,Light_Treatment_Population_wild_type_Female,Light_Treatment_Population_white_eyed_Male,Light_Treatment_Population_wild_type_Male,Light_Treatment_Frequency_for_white_eyed_Allele,Dark_Treatment_Population_white_eyed_Female,Dark_Treatment_Population_wild_type_Female,Dark_Treatment_Population_white_eyed_Male,Dark_Treatment_Population_wild_type_Male,Dark_Treatment_Frequency_for_white_eyed_Allele,Reporting_Year,Chron Order
F22_402,9,11,16,4,0.80,,,,,,F22,F22_F22_402
F22_403,7,13,10,10,0.50,7,13,10,10,0.50,F22,F22_F22_403
F22_404,8,12,11,9,0.55,,,,,,F22,F22_F22_404
F22_500,7,1,11,9,0.55,3,17,9,11,0.45,F22,F22_F22_500
F22_501,5,15,12,8,0.60,10,10,15,5,0.75,F22,F22_F22_501
F22_503,6,14,13,7,0.65,12,8,15,5,0.75,F22,F22_F22_503
F22_504,7,13,15,5,0.75,6,14,17,3,0.85,F22,F22_F22_504
F22_505,4,16,11,9,0.55,9,11,12,8,0.60,F22,F22_F22_505
F22_600,11,9,8,12,0.40,9,11,13,7,0.65,F22,F22_F22_600
F22_601,4,16,12,8,0.60,9,11,9,11,0.45,F22,F22_F22_601
F22_602,8,12,8,12,0.40,13,7,11,9,0.55,F22,F22_F22_602
F22_603,2,18,3,17,0.15,14,6,19,1,0.95,F22,F22_F22_603
F22_604,7,13,6,14,0.30,4,16,11,9,0.55,F22,F22_F22_604
F22_700,7,13,10,10,0.50,10,10,13,7,0.65,F22,F22_F22_700
F22_701,5,15,5,15,0.25,2,18,6,14,0.30,F22,F22_F22_701
F22_702,7,13,11,9,0.55,20,0,17,3,0.85,F22,F22_F22_702
F22_703,2,18,14,6,0.70,8,12,14,6,0.70,F22,F22_F22_703
F22_704,0,20,1,19,0.05,8,12,8,2,0.80,F22,F22_F22_704
F22_800,5,15,10,10,0.50,4,16,8,12,0.40,F22,F22_F22_800
F22_801,9,11,17,3,0.85,2,14,6,14,0.30,F22,F22_F22_801
F22_802,2,18,8,12,0.40,6,14,6,12,0.33,F22,F22_F22_802
F22_803,2,18,9,11,0.45,0,20,20,10,0.67,F22,F22_F22_803
F22_804,3,17,9,11,0.45,2,18,10,10,0.50,F22,F22_F22_804
F22_805,4,16,5,14,0.26,2,18,15,5,0.75,F22,F22_F22_805
F22_900,2,18,13,7,0.65,4,16,19,1,0.95,F22,F22_F22_900
F22_901,6,14,6,14,0.30,6,14,9,11,0.45,F22,F22_F22_901
F22_902,0,20,4,16,0.20,0,20,1,19,0.05,F22,F22_F22_902
F22_903,6,14,12,8,0.60,6,14,15,5,0.75,F22,F22_F22_903
F22_904,1,19,4,16,0.20,10,10,4,16,0.20,F22,F22_F22_904
F22_905,18,2,9,11,0.45,17,3,2,18,0.10,F22,F22_F22_905
F22_1000,10,10,17,3,0.85,1,19,0,18,0.00,F22,F22_F22_1000
F22_2000,4,16,6,14,0.30,4,16,7,13,0.35,F22,F22_F22_2000
F22_2100,7,13,11,9,0.55,6,13,7,1,0.88,F22,F22_F22_2100
F22_2200,4,16,7,13,0.35,3,17,8,12,0.40,F22,F22_F22_2200
F22_2300,10,10,16,4,0.80,13,7,4,16,0.20,F22,F22_F22_2300
